n,x,y,z,tier,method,status
255481,,,,T5,Failed (rational residue or no matching identity),failure
257041,,,,T5,Failed (rational residue or no matching identity),failure
258241,,,,T5,Failed (rational residue or no matching identity),failure
259009,,,,T5,Failed (rational residue or no matching identity),failure
259081,,,,T5,Failed (rational residue or no matching identity),failure
259177,,,,T5,Failed (rational residue or no matching identity),failure
260761,,,,T5,Failed (rational residue or no matching identity),failure
260849,,,,T5,Failed (rational residue or no matching identity),failure
261529,,,,T5,Failed (rational residue or no matching identity),failure
263209,,,,T5,Failed (rational residue or no matching identity),failure
263521,,,,T5,Failed (rational residue or no matching identity),failure
264529,,,,T5,Failed (rational residue or no matching identity),failure
265561,,,,T5,Failed (rational residue or no matching identity),failure
266137,,,,T5,Failed (rational residue or no matching identity),failure
266401,,,,T5,Failed (rational residue or no matching identity),failure
266809,,,,T5,Failed (rational residue or no matching identity),failure
268129,,,,T5,Failed (rational residue or no matching identity),failure
268241,,,,T5,Failed (rational residue or no matching identity),failure
268321,,,,T5,Failed (rational residue or no matching identity),failure
269281,,,,T5,Failed (rational residue or no matching identity),failure
269641,,,,T5,Failed (rational residue or no matching identity),failure
270241,,,,T5,Failed (rational residue or no matching identity),failure
271441,,,,T5,Failed (rational residue or no matching identity),failure
271849,,,,T5,Failed (rational residue or no matching identity),failure
272353,,,,T5,Failed (rational residue or no matching identity),failure
272449,,,,T5,Failed (rational residue or no matching identity),failure
272689,,,,T5,Failed (rational residue or no matching identity),failure
273529,,,,T5,Failed (rational residue or no matching identity),failure
274033,,,,T5,Failed (rational residue or no matching identity),failure
274609,,,,T5,Failed (rational residue or no matching identity),failure
275929,,,,T5,Failed (rational residue or no matching identity),failure
278881,,,,T5,Failed (rational residue or no matching identity),failure
280729,,,,T5,Failed (rational residue or no matching identity),failure
281161,,,,T5,Failed (rational residue or no matching identity),failure
282097,,,,T5,Failed (rational residue or no matching identity),failure
283201,,,,T5,Failed (rational residue or no matching identity),failure
286609,,,,T5,Failed (rational residue or no matching identity),failure
286801,,,,T5,Failed (rational residue or no matching identity),failure
286969,,,,T5,Failed (rational residue or no matching identity),failure
288649,,,,T5,Failed (rational residue or no matching identity),failure
288817,,,,T5,Failed (rational residue or no matching identity),failure
289129,,,,T5,Failed (rational residue or no matching identity),failure
290761,,,,T5,Failed (rational residue or no matching identity),failure
291241,,,,T5,Failed (rational residue or no matching identity),failure
292681,,,,T5,Failed (rational residue or no matching identity),failure
293281,,,,T5,Failed (rational residue or no matching identity),failure
293329,,,,T5,Failed (rational residue or no matching identity),failure
294289,,,,T5,Failed (rational residue or no matching identity),failure
294529,,,,T5,Failed (rational residue or no matching identity),failure
295921,,,,T5,Failed (rational residue or no matching identity),failure
296209,,,,T5,Failed (rational residue or no matching identity),failure
296929,,,,T5,Failed (rational residue or no matching identity),failure
297049,,,,T5,Failed (rational residue or no matching identity),failure
298153,,,,T5,Failed (rational residue or no matching identity),failure
299209,,,,T5,Failed (rational residue or no matching identity),failure
299329,,,,T5,Failed (rational residue or no matching identity),failure
299569,,,,T5,Failed (rational residue or no matching identity),failure
300961,,,,T5,Failed (rational residue or no matching identity),failure
301681,,,,T5,Failed (rational residue or no matching identity),failure
302329,,,,T5,Failed (rational residue or no matching identity),failure
303361,,,,T5,Failed (rational residue or no matching identity),failure
303529,,,,T5,Failed (rational residue or no matching identity),failure
304609,,,,T5,Failed (rational residue or no matching identity),failure
306601,,,,T5,Failed (rational residue or no matching identity),failure
307129,,,,T5,Failed (rational residue or no matching identity),failure
307297,,,,T5,Failed (rational residue or no matching identity),failure
307609,,,,T5,Failed (rational residue or no matching identity),failure
308641,,,,T5,Failed (rational residue or no matching identity),failure
308809,,,,T5,Failed (rational residue or no matching identity),failure
309409,,,,T5,Failed (rational residue or no matching identity),failure
310129,,,,T5,Failed (rational residue or no matching identity),failure
310249,,,,T5,Failed (rational residue or no matching identity),failure
311881,,,,T5,Failed (rational residue or no matching identity),failure
312097,,,,T5,Failed (rational residue or no matching identity),failure
312841,,,,T5,Failed (rational residue or no matching identity),failure
312929,,,,T5,Failed (rational residue or no matching identity),failure
313273,,,,T5,Failed (rational residue or no matching identity),failure
314689,,,,T5,Failed (rational residue or no matching identity),failure
315793,,,,T5,Failed (rational residue or no matching identity),failure
315961,,,,T5,Failed (rational residue or no matching identity),failure
316177,,,,T5,Failed (rational residue or no matching identity),failure
316321,,,,T5,Failed (rational residue or no matching identity),failure
316681,,,,T5,Failed (rational residue or no matching identity),failure
316969,,,,T5,Failed (rational residue or no matching identity),failure
318289,,,,T5,Failed (rational residue or no matching identity),failure
319201,,,,T5,Failed (rational residue or no matching identity),failure
319321,,,,T5,Failed (rational residue or no matching identity),failure
319801,,,,T5,Failed (rational residue or no matching identity),failure
320209,,,,T5,Failed (rational residue or no matching identity),failure
320329,,,,T5,Failed (rational residue or no matching identity),failure
320401,,,,T5,Failed (rational residue or no matching identity),failure
321649,,,,T5,Failed (rational residue or no matching identity),failure
322009,,,,T5,Failed (rational residue or no matching identity),failure
322921,,,,T5,Failed (rational residue or no matching identity),failure
323761,,,,T5,Failed (rational residue or no matching identity),failure
324169,,,,T5,Failed (rational residue or no matching identity),failure
326041,,,,T5,Failed (rational residue or no matching identity),failure
327289,,,,T5,Failed (rational residue or no matching identity),failure
327721,,,,T5,Failed (rational residue or no matching identity),failure
327841,,,,T5,Failed (rational residue or no matching identity),failure
328129,,,,T5,Failed (rational residue or no matching identity),failure
329209,,,,T5,Failed (rational residue or no matching identity),failure
329881,,,,T5,Failed (rational residue or no matching identity),failure
330289,,,,T5,Failed (rational residue or no matching identity),failure
330529,,,,T5,Failed (rational residue or no matching identity),failure
332929,,,,T5,Failed (rational residue or no matching identity),failure
333001,,,,T5,Failed (rational residue or no matching identity),failure
333169,,,,T5,Failed (rational residue or no matching identity),failure
333673,,,,T5,Failed (rational residue or no matching identity),failure
333961,,,,T5,Failed (rational residue or no matching identity),failure
334897,,,,T5,Failed (rational residue or no matching identity),failure
335449,,,,T5,Failed (rational residue or no matching identity),failure
336001,,,,T5,Failed (rational residue or no matching identity),failure
336289,,,,T5,Failed (rational residue or no matching identity),failure
336529,,,,T5,Failed (rational residue or no matching identity),failure
